Price,Close,High,Low,Open,Volume
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD
Date,,,,,
2026-01-01,88731.984375,88803.2265625,87399.40625,87508.046875,18849043990
2026-01-02,89944.6953125,90884.4609375,88298.6171875,88733.0625,46398906171
2026-01-03,90603.1875,90679.5703125,89328.0703125,89945.0546875,20774828592
2026-01-04,91413.4921875,91712.5859375,90595.1015625,90603.0,26770491368
2026-01-05,93882.5546875,94762.0703125,91414.625,91414.625,53376407252
2026-01-06,93729.03125,94395.296875,91286.546875,93876.9453125,52430605257
2026-01-07,91308.0546875,93738.7890625,90601.8046875,93727.46875,43461295053
2026-01-08,91027.125,91485.8515625,89233.875,91309.640625,42386697030
2026-01-09,90513.1015625,91910.671875,89625.3828125,91026.2734375,38305906684
2026-01-10,90386.6484375,90713.03125,90283.3984375,90510.1015625,12385895282
2026-01-11,90827.4609375,91155.2265625,90212.0234375,90385.359375,17165568977
2026-01-12,91192.9921875,92395.5234375,90055.0234375,90825.859375,41346275358
2026-01-13,95321.78125,96011.625,90941.9296875,91185.3359375,54980674354
2026-01-14,96929.328125,97860.6015625,94583.046875,95322.90625,60592490863
2026-01-15,95551.1875,97150.171875,95103.2421875,96931.2890625,53086363027
2026-01-16,95525.1171875,95801.890625,94259.2734375,95554.1015625,33248170537
2026-01-17,95099.921875,95598.4765625,95005.6171875,95525.15625,16021715122
2026-01-18,93634.4296875,95491.5078125,93588.8671875,95101.1796875,20809781232
2026-01-19,92553.59375,93660.828125,92089.25,93655.671875,39195241508
2026-01-20,88310.90625,92798.4296875,87814.9296875,92553.6015625,53072968031
2026-01-21,89376.9609375,90430.40625,87231.5703125,88326.5078125,56330422434
2026-01-22,89462.453125,90258.9609375,88438.4453125,89378.5234375,35549685694
2026-01-23,89503.875,91100.25,88486.359375,89462.046875,38997586037
2026-01-24,89110.734375,89811.609375,89044.2890625,89506.1484375,14558687712
2026-01-25,86572.21875,89193.1484375,86003.7109375,89104.765625,36124986722
2026-01-26,88267.140625,88743.0703125,86429.2890625,86566.5234375,45329286974
2026-01-27,89102.5703125,89427.125,87228.921875,88257.4765625,38744942267
2026-01-28,89184.5703125,90439.2890625,88721.4609375,89104.046875,39807419296
2026-01-29,84561.5859375,89200.78125,83250.6015625,89169.8515625,64653083162
